id,original,surface,pronunciation,class,extinct
227,チリーシギダチョウ,チリーシギダチョウ,チリーシギダチョウ,鳥類,no
228,クロカンムリヒタキ,クロカンムリヒタキ,クロカンムリヒタキ,鳥類,no
229,コシジロイソヒヨドリ,コシジロイソヒヨドリ,コシジロイソヒヨドリ,鳥類,no
230,スミレオミカドバト,スミレオミカドバト,スミレオミカドバト,鳥類,no
231,ヤマパカ,ヤマパカ,ヤマパカ,哺乳類,no
232,ミヤマツグミヒタキ,ミヤマツグミヒタキ,ミヤマツグミヒタキ,鳥類,no
233,イワトビムシクイ,イワトビムシクイ,イワトビムシクイ,鳥類,no
234,サビイロヒタキ,サビイロヒタキ,サビイロヒタキ,鳥類,no
235,サファイヤヒタキ,サファイヤヒタキ,サファイヤヒタキ,鳥類,no
236,クチニセマウス,クチニセマウス,クチニセマウス,哺乳類,no
237,ネズミガシラハネナガインコ,ネズミガシラハネナガインコ,ネズミガシラハネナガインコ,鳥類,no
238,アカガシラチメドリ,アカガシラチメドリ,アカガシラチメドリ,鳥類,no
239,サカツラウ,サカツラウ,サカツラウ,鳥類,no
240,ボリビアツコツコ,ボリビアツコツコ,ボリビアツコツコ,NA,no
241,ヨーロッパアマツバメ,ヨーロッパアマツバメ,ヨーロッパアマツバメ,鳥類,no
242,ブラインドケーブフィッシュ,ブラインドケーブフィッシュ,ブラインドケーブフィッシュ,NA,no
243,カンムリセイラン,カンムリセイラン,カンムリセイラン,NA,no
244,オオイッコウチョウ,オオイッコウチョウ,オオイッコウチョウ,鳥類,no
245,キボシクイナ,キボシクイナ,キボシクイナ,鳥類,no
246,ムラサキミツドリ,ムラサキミツドリ,ムラサキミツドリ,鳥類,no
247,ゼニタナゴ,ゼニタナゴ,ゼニタナゴ,魚類,no
248,サビイロムジチメドリ,サビイロムジチメドリ,サビイロムジチメドリ,鳥類,no
249,ルウェンゾリタイヨウリス,ルウェンゾリタイヨウリス,ルウェンゾリタイヨウリス,NA,no
250,アメリカシマクイナ,アメリカシマクイナ,アメリカシマクイナ,鳥類,no
251,セイシェルアナツバメ,セイシェルアナツバメ,セイシェルアナツバメ,NA,no
252,ムジヒトリツグミ,ムジヒトリツグミ,ムジヒトリツグミ,鳥類,no
253,コジカホップマウス,コジカホップマウス,コジカホップマウス,NA,no
254,クロカマハシフウチョウ,クロカマハシフウチョウ,クロカマハシフウチョウ,鳥類,no
255,ミナミヤイロチョウ,ミナミヤイロチョウ,ミナミヤイロチョウ,鳥類,no
256,サラワクスンダリス,サラワクスンダリス,サラワクスンダリス,NA,no
257,キムネハシビロヒタキ,キムネハシビロヒタキ,キムネハシビロヒタキ,鳥類,no
258,アオコンゴウインコ,アオコンゴウインコ,アオコンゴウインコ,鳥類,yes
259,オオコミミトガリネズミ,オオコミミトガリネズミ,オオコミミトガリネズミ,NA,no
260,アオミミハチドリ,アオミミハチドリ,アオミミハチドリ,鳥類,no
261,ウロコミツオシエ,ウロコミツオシエ,ウロコミツオシエ,鳥類,no
262,アンゴラシャコ,アンゴラシャコ,アンゴラシャコ,鳥類,no
263,ルソンオオコノハズク,ルソンオオコノハズク,ルソンオオコノハズク,鳥類,no
264,ホシサボテンミソサザイ,ホシサボテンミソサザイ,ホシサボテンミソサザイ,鳥類,no
265,アフリカシタナガフルーツコウモリ,アフリカシタナガフルーツコウモリ,アフリカシタナガフルーツコウモリ,NA,no
266,ヤブオウギビタキ,ヤブオウギビタキ,ヤブオウギビタキ,鳥類,no
267,ムナグロオーストラリアムシクイ,ムナグロオーストラリアムシクイ,ムナグロオーストラリアムシクイ,鳥類,no
268,ヒメイワタイランチョウ,ヒメイワタイランチョウ,ヒメイワタイランチョウ,鳥類,no
269,オリーブキンパラ,オリーブキンパラ,オリーブキンパラ,鳥類,no
270,メンガタカササギビタキ,メンガタカササギビタキ,メンガタカササギビタキ,鳥類,no
271,ハイイロアリモズ,ハイイロアリモズ,ハイイロアリモズ,鳥類,no
272,ツバメチドリ,ツバメチドリ,ツバメチドリ,鳥類,no
273,チチブコウモリ,チチブコウモリ,チチブコウモリ,哺乳類,no
274,カンムリウミスズメ,カンムリウミスズメ,カンムリウミスズメ,鳥類,no
275,ヒマラヤハゲワシ,ヒマラヤハゲワシ,ヒマラヤハゲワシ,鳥類,no
276,キマユカマドドリ,キマユカマドドリ,キマユカマドドリ,鳥類,no
277,ホースフィールドフルーツコウモリ,ホースフィールドフルーツコウモリ,ホースフィールドフルーツコウモリ,NA,no
278,シロガシラアジサシ,シロガシラアジサシ,シロガシラアジサシ,鳥類,no
279,ハシブトガラ,ハシブトガラ,ハシブトガラ,鳥類,no
280,ケムリニセマウス,ケムリニセマウス,ケムリニセマウス,NA,no
281,ハシジロチュウハシ,ハシジロチュウハシ,ハシジロチュウハシ,鳥類,no
282,シラボシカササギビタキ,シラボシカササギビタキ,シラボシカササギビタキ,鳥類,no
283,ハイイロアリモズモドキ,ハイイロアリモズモドキ,ハイイロアリモズモドキ,鳥類,no
284,カンタベリーガラクシアス,カンタベリーガラクシアス,カンタベリーガラクシアス,NA,no
285,フィリピンコゲラ,フィリピンコゲラ,フィリピンコゲラ,鳥類,no
286,アメリカコアジサシ,アメリカコアジサシ,アメリカコアジサシ,鳥類,no
287,ハッカン,ハッカン,ハッカン,鳥類,no
288,キミドリコウライウグイス,キミドリコウライウグイス,キミドリコウライウグイス,鳥類,no
289,ヒースキノボリヤチネズミ,ヒースキノボリヤチネズミ,ヒースキノボリヤチネズミ,NA,no
290,コシアカフウキンチョウ,コシアカフウキンチョウ,コシアカフウキンチョウ,鳥類,no
291,コハナインコ,コハナインコ,コハナインコ,鳥類,no
292,ヨーロッパハタリス,ヨーロッパハタリス,ヨーロッパハタリス,哺乳類,no
293,コユビシトドコヒバリ,コユビシトドコヒバリ,コユビシトドコヒバリ,鳥類,no
294,ガラパゴスコメネズミ,ガラパゴスコメネズミ,ガラパゴスコメネズミ,NA,no
295,ミドリオヒゲヒヨドリ,ミドリオヒゲヒヨドリ,ミドリオヒゲヒヨドリ,鳥類,no
296,フサオウッドラット,フサオウッドラット,フサオウッドラット,NA,no
297,ヨロイトゲネズミ,ヨロイトゲネズミ,ヨロイトゲネズミ,NA,no
298,シロノドメジロハエトリ,シロノドメジロハエトリ,シロノドメジロハエトリ,鳥類,no
299,ライオン,ライオン,ライオン,哺乳類,no
300,ウグイスアメリカムシクイ,ウグイスアメリカムシクイ,ウグイスアメリカムシクイ,鳥類,no
301,ムナグロチュウヒワシ,ムナグロチュウヒワシ,ムナグロチュウヒワシ,鳥類,no
302,クロアゴカンムリチメドリ,クロアゴカンムリチメドリ,クロアゴカンムリチメドリ,鳥類,no
303,ハリモミライチョウ,ハリモミライチョウ,ハリモミライチョウ,鳥類,no
304,エチオピアビナンスズメ,エチオピアビナンスズメ,エチオピアビナンスズメ,鳥類,no
305,ワタシロアシマウス,ワタシロアシマウス,ワタシロアシマウス,NA,no
306,ズアカガケツバメ,ズアカガケツバメ,ズアカガケツバメ,鳥類,no
307,ヒャン,ヒャン,ヒャン,爬虫類,no
308,コバシヌマミソサザイ,コバシヌマミソサザイ,コバシヌマミソサザイ,鳥類,no
309,ウガンダキンモグラ,ウガンダキンモグラ,ウガンダキンモグラ,NA,no
310,アメリカヤマセミ,アメリカヤマセミ,アメリカヤマセミ,鳥類,no
311,ハイイロオオサンショウクイ,ハイイロオオサンショウクイ,ハイイロオオサンショウクイ,鳥類,no
312,ナキサイチョウ,ナキサイチョウ,ナキサイチョウ,鳥類,no
313,トリスタンシマツグミ,トリスタンシマツグミ,トリスタンシマツグミ,鳥類,no
314,チョウセンゴジュウカラ,チョウセンゴジュウカラ,チョウセンゴジュウカラ,鳥類,no
315,シロボシアリモズ,シロボシアリモズ,シロボシアリモズ,鳥類,no
316,ルリヨシノボリ,ルリヨシノボリ,ルリヨシノボリ,魚類,no
317,ラングール,ラングール,ラングール,NA,no
318,ハレギトゲポケットマウス,ハレギトゲポケットマウス,ハレギトゲポケットマウス,NA,no
319,アカギツネ,アカギツネ,アカギツネ,哺乳類,no
320,タラザックオナガテンレック,タラザックオナガテンレック,タラザックオナガテンレック,NA,no
321,ズグロコウライウグイス,ズグロコウライウグイス,ズグロコウライウグイス,鳥類,no
322,オリーブハシナガムシクイ,オリーブハシナガムシクイ,オリーブハシナガムシクイ,鳥類,no
